127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2017-04-26 18:22:34, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2017-04-26 18:22:34, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2017-04-26 18:22:34, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-04-26 18:22:34, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:22:34, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:22:35, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-26 18:22:35, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.275000
127.0.0.1, 2017-04-26 18:22:35, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.392000
127.0.0.1, 2017-04-26 18:22:35, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.691000
127.0.0.1, 2017-04-26 18:22:35, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:22:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.845000
127.0.0.1, 2017-04-26 18:22:35, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.515000
127.0.0.1, 2017-04-26 18:22:35, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.120000
127.0.0.1, 2017-04-26 18:22:49, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.195000
127.0.0.1, 2017-04-26 18:23:26, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.143000
127.0.0.1, 2017-04-26 18:23:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.226000
127.0.0.1, 2017-04-26 18:23:45, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 10.939000
127.0.0.1, 2017-04-26 18:24:10, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.197000
127.0.0.1, 2017-04-26 18:24:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.242000
127.0.0.1, 2017-04-26 18:24:43, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 9.040000
127.0.0.1, 2017-04-26 18:24:51, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.142000
127.0.0.1, 2017-04-26 18:25:01, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.169000
127.0.0.1, 2017-04-26 18:25:03, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.140000
127.0.0.1, 2017-04-26 18:25:23, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.140000
127.0.0.1, 2017-04-26 18:25:24, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.129000
127.0.0.1, 2017-04-26 18:25:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.136000
127.0.0.1, 2017-04-26 18:25:43, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 8.907000
127.0.0.1, 2017-04-26 18:25:58, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.161000
127.0.0.1, 2017-04-26 18:26:27, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.158000
127.0.0.1, 2017-04-26 18:26:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.145000
127.0.0.1, 2017-04-26 18:26:43, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 8.306000
127.0.0.1, 2017-04-26 18:27:30, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.286000
127.0.0.1, 2017-04-26 18:27:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.154000
127.0.0.1, 2017-04-26 18:27:44, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 9.153000
127.0.0.1, 2017-04-26 18:28:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.173000
127.0.0.1, 2017-04-26 18:28:44, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 9.356000
127.0.0.1, 2017-04-26 18:28:44, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.148000
127.0.0.1, 2017-04-26 18:28:45, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.139000
127.0.0.1, 2017-04-26 18:29:09, GET, /admin/default/index, HTTP/1.1, 303, 0.050000
127.0.0.1, 2017-04-26 18:29:10, GET, /admin/default/site, HTTP/1.1, 200, 0.411000
127.0.0.1, 2017-04-26 18:29:12, POST, /admin/default/check_version, HTTP/1.1, 200, 1.211000
127.0.0.1, 2017-04-26 18:29:12, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2017-04-26 18:29:22, POST, /admin/default/site, HTTP/1.1, 303, 2.617000
127.0.0.1, 2017-04-26 18:29:25, GET, /admin/default/design/Carpool, HTTP/1.1, 200, 2.464000
127.0.0.1, 2017-04-26 18:29:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-26 18:29:31, GET, /admin/default/peek/Carpool/controllers/default.py, HTTP/1.1, 200, 0.405000
127.0.0.1, 2017-04-26 18:29:32, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2017-04-26 18:29:35, GET, /admin/default/site, HTTP/1.1, 200, 0.274000
127.0.0.1, 2017-04-26 18:29:37, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2017-04-26 18:29:40, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.959000
127.0.0.1, 2017-04-26 18:29:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-04-26 18:29:44, GET, /admin/default/site, HTTP/1.1, 200, 0.412000
127.0.0.1, 2017-04-26 18:29:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-26 18:29:52, GET, /admin/default/design/welcome, HTTP/1.1, 200, 2.043000
127.0.0.1, 2017-04-26 18:29:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-26 18:29:59, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.271000
127.0.0.1, 2017-04-26 18:29:59, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2017-04-26 18:30:10, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.158000
127.0.0.1, 2017-04-26 18:30:11, GET, /favicon.ico, HTTP/1.1, 400, 0.019000
127.0.0.1, 2017-04-26 18:30:12, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.263000
127.0.0.1, 2017-04-26 18:30:12, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.588000
127.0.0.1, 2017-04-26 18:30:12, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.911000
127.0.0.1, 2017-04-26 18:30:13, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 1.104000
127.0.0.1, 2017-04-26 18:30:13, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.142000
127.0.0.1, 2017-04-26 18:30:14, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 3.051000
127.0.0.1, 2017-04-26 18:30:19, GET, /admin/default/edit/Carpool/controllers/default.py, HTTP/1.1, 200, 0.397000
127.0.0.1, 2017-04-26 18:30:20, GET, /favicon.ico, HTTP/1.1, 400, 0.017000
127.0.0.1, 2017-04-26 18:30:21, GET, /admin/default/edit/Carpool/controllers/default.py, HTTP/1.1, 200, 0.629000
127.0.0.1, 2017-04-26 18:30:21, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.806000
127.0.0.1, 2017-04-26 18:30:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.020000
127.0.0.1, 2017-04-26 18:30:22, GET, /admin/default/files_menu, HTTP/1.1, 200, 1.950000
127.0.0.1, 2017-04-26 18:30:22, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 1.344000
127.0.0.1, 2017-04-26 18:30:23, GET, /admin/default/peek/Carpool/controllers/default.py, HTTP/1.1, 200, 0.379000
127.0.0.1, 2017-04-26 18:30:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-04-26 18:30:25, GET, /Carpool/appadmin/hooks, HTTP/1.1, 200, 4.540000
127.0.0.1, 2017-04-26 18:30:35, GET, /admin/default/index, HTTP/1.1, 303, 0.035000
127.0.0.1, 2017-04-26 18:30:35, GET, /admin/default/site, HTTP/1.1, 200, 0.160000
127.0.0.1, 2017-04-26 18:30:37, GET, /favicon.ico, HTTP/1.1, 400, 0.005000
127.0.0.1, 2017-04-26 18:30:40, GET, /admin/default/design/Carpool, HTTP/1.1, 200, 1.322000
127.0.0.1, 2017-04-26 18:30:42, GET, /favicon.ico, HTTP/1.1, 400, 0.003000
127.0.0.1, 2017-04-26 18:30:45, GET, /admin/default/peek/Carpool/models/db.py, HTTP/1.1, 200, 0.472000
127.0.0.1, 2017-04-26 18:30:46, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2017-04-26 18:30:50, GET, /admin/default/design/Carpool, HTTP/1.1, 200, 1.376000
